avgret,mrkt_ret,retdate
0.0191203468111077,601524.449934496,2010-01-04 
0.00247520686498856,321937.193590758,2010-01-05 
0.00321045536395543,209311.559549748,2010-01-06 
0.00688680061068702,242286.966266271,2010-01-07 
0.00726802457640055,206746.222931896,2010-01-08 
0.00356759804818542,108516.193025542,2010-01-11 
-0.0101702171393717,-492452.562895733,2010-01-12 
0.00888968664226898,436383.222090712,2010-01-13 
0.00443147406955462,66290.667500264,2010-01-14 
-0.00866409743824334,-350446.394895107,2010-01-15 
0.0112866438481476,508099.279199499,2010-01-19 
-0.00904821046210156,-401471.658150836,2010-01-20 
-0.0141912800061004,-1057989.3340833,2010-01-21 
-0.0144315205061747,-1135905.13943165,2010-01-22 
0.000974735383678445,172209.135761357,2010-01-25 
-0.00601589159561511,-167121.146323897,2010-01-26 
0.00188046876904326,205617.941715521,2010-01-27 
-0.00887578107861057,-594417.687374266,2010-01-28 
-0.00818662578089288,-652905.899976549,2010-01-29 
0.0113488450510905,629626.060930383,2010-02-01 
0.00866460186032326,497896.211518418,2010-02-02 
-0.00382350182982618,-140070.868987531,2010-02-03 
-0.0281283670886077,-1642919.20389937,2010-02-04 
0.000458448223272838,327546.304981245,2010-02-05 
-0.00533549153059669,-262359.377745917,2010-02-08 
0.0119051668447565,638361.080802174,2010-02-09 
1.85650183150184e-05,8198.10032012913,2010-02-10 
0.0127919719469431,461990.14024481,2010-02-11 
0.00312267508750571,21634.5130901749,2010-02-12 
0.0144358223473892,715924.583802238,2010-02-16 
0.00505181458365048,170430.303372168,2010-02-17 
0.00437990086797625,222887.906407944,2010-02-18 
0.00195998858099878,99786.085238052,2010-02-19 
0.00198212762717028,98023.1814495953,2010-02-22 
-0.00843517413162709,-529998.479894617,2010-02-23 
0.00535896907373554,321624.599020474,2010-02-24 
-0.000976584463061691,103925.747422462,2010-02-25 
0.00159727041438148,119905.052298792,2010-02-26 
0.0129515219445291,636769.279512327,2010-03-01 
0.00784238652644413,230190.545305387,2010-03-02 
0.00285868323170732,79841.640436142,2010-03-03 
0.00464397392497712,263161.26621398,2010-03-04 
0.0151751588414635,672683.458738679,2010-03-05 
0.00379587629652226,112686.578854429,2010-03-08 
0.00251070992832088,179876.260212993,2010-03-09 
0.00623630172282358,504747.691001643,2010-03-10 
0.00327029501448392,166222.278597581,2010-03-11 
0.000601388821200121,28822.5924275298,2010-03-12 
-0.00317698765996344,-65934.0666427215,2010-03-15 
0.00716788692471808,380439.20328823,2010-03-16 
0.00472049375380865,235520.365015552,2010-03-17 
-0.00267486164863629,-19915.891013097,2010-03-18 
-0.00794272581873571,-393532.941172136,2010-03-19 
0.00628974154736523,307829.239262993,2010-03-22 
0.00845992354553764,347287.389906588,2010-03-23 
-0.00512388048112058,-122773.052670149,2010-03-24 
-0.00344910477352447,-124558.654526625,2010-03-25 
0.000860342028985505,219587.167275993,2010-03-26 
0.0057683850495805,257456.203962825,2010-03-29 
0.00162017894736842,10978.4941757477,2010-03-30 
-0.00294053913043479,-75294.8972357826,2010-03-31 
0.00696112736424648,307343.184430713,2010-04-01 
0.0131570833079035,412700.85318008,2010-04-05 
0.00522634650595058,133231.438643132,2010-04-06 
-0.000953206954399878,-119622.799814973,2010-04-07 
0.00269294410600061,165604.981737905,2010-04-08 
0.00584502208009746,300767.572087455,2010-04-09 
0.0038804703822141,358806.204920107,2010-04-12 
0.00156821809320744,7895.3190935184,2010-04-13 
0.0149681277405602,695620.302576904,2010-04-14 
0.00276146621004566,123525.323222169,2010-04-15 
-0.010972062091006,-1450333.18635638,2010-04-16 
-0.00291140213089803,126848.954921047,2010-04-19 
0.0119631819150556,399924.583742224,2010-04-20 
0.00291951027240907,101324.230275085,2010-04-21 
0.00755005938784833,265439.220723969,2010-04-22 
0.0100020191489362,397004.061256326,2010-04-23 
0.00266098617231423,-77018.0953005268,2010-04-26 
-0.0188424776595744,-1473214.65547899,2010-04-27 
0.00155697324414715,271273.423080967,2010-04-28 
0.0131649858598145,652412.780095996,2010-04-29 
-0.015029210118505,-1064289.43117931,2010-04-30 
0.011349539221648,466968.000717258,2010-05-03 
-0.0239486266342354,-1441731.15455928,2010-05-04 
-0.0135998618121009,-536852.330050118,2010-05-05 
-0.0336849691489362,-2545556.17919938,2010-05-06 
-0.0169893568931449,-1265274.65591392,2010-05-07 
0.0428037409601944,2674705.40727381,2010-05-10 
0.00420197888179884,-54089.8522825134,2010-05-11 
0.0191236246200608,840216.000389386,2010-05-12 
-0.00487489256951829,-306383.299856755,2010-05-13 
-0.0185679281482607,-1052667.87798224,2010-05-14 
-0.00314576113052728,-65595.1249231707,2010-05-17 
-0.0128650864478881,-749273.504165615,2010-05-18 
-0.0132899485115431,-366661.590877488,2010-05-19 
-0.0390857714155528,-2441661.44977248,2010-05-20 
0.0115784521712723,1124484.25058445,2010-05-21 
-0.00655541740188619,-397587.194031718,2010-05-24 
-0.00647604107088528,128853.453052314,2010-05-25 
0.0045753861838101,-127482.677747621,2010-05-26 
0.0336552956032253,1649742.57989215,2010-05-27 
-0.00663043048372375,-498428.579489985,2010-05-28 
-0.0206779366722484,-964046.123851845,2010-06-01 
0.0202387763738773,1144504.93359282,2010-06-02 
0.00551139184046278,266193.941454303,2010-06-03 
-0.0322591187395341,-1647455.70523878,2010-06-04 
-0.0181823178495278,-610937.644931915,2010-06-07 
-0.00122053430701354,333607.928862617,2010-06-08 
-0.000241953452996653,-353409.11230172,2010-06-09 
0.0249148640510948,1346012.37514864,2010-06-10 
0.00944443582725058,273184.697153438,2010-06-11 
0.00418550486470053,-20300.8343356769,2010-06-14 
0.0193974121580546,931676.174099975,2010-06-15 
-0.00197018672136129,-42686.0166034468,2010-06-16 
-3.2267355309129e-05,22873.8728269966,2010-06-17 
0.00294419231353486,111004.452289757,2010-06-18 
-0.00631018872511778,-64786.3603116901,2010-06-21 
-0.0138633563183474,-604073.887943513,2010-06-22 
-0.0018767808988764,-51480.1875216791,2010-06-23 
-0.0124035185241421,-628069.64678031,2010-06-24 
0.0102749624905087,401104.55453769,2010-06-25 
-0.00465683343455816,-117541.344456196,2010-06-28 
-0.0311702107180811,-1608102.4793827,2010-06-29 
-0.00554088661202188,-278194.114677606,2010-06-30 
-0.00759899483596597,-144848.440606279,2010-07-01 
-0.00436812179195141,-134898.292936595,2010-07-02 
-0.006418949286365,73419.4852007155,2010-07-06 
0.0219369843536381,1188252.84882826,2010-07-07 
0.0100248476147068,296539.86471609,2010-07-08 
0.0117045020501139,279210.671872285,2010-07-09 
-0.00548346255506608,68345.0683061142,2010-07-12 
0.0215614639002888,663695.475751358,2010-07-13 
-0.00108948837209302,10334.1708254925,2010-07-14 
-0.00362727111178615,251654.179038841,2010-07-15 
-0.0241306015186029,-1147493.0661149,2010-07-16 
0.00303853397027602,139915.837391957,2010-07-19 
0.0115902023051258,519609.326041558,2010-07-20 
-0.00983655845337377,-411119.308818565,2010-07-21 
0.023312144850599,908077.080035263,2010-07-22 
0.0135196027605035,434726.27350884,2010-07-23 
0.0138339833181681,427589.383488224,2010-07-26 
-0.0021616974522293,-166217.36821832,2010-07-27 
-0.00781766262135922,-193364.961943896,2010-07-28 
0.000460450531107739,-156867.41797227,2010-07-29 
0.00338033677341022,46939.3088542733,2010-07-30 
0.0135972547799697,713353.177924592,2010-08-02 
-0.00455971127294795,-184999.81195599,2010-08-03 
0.00732239942354368,329829.30623283,2010-08-04 
-0.00412125413693638,-36500.5366342125,2010-08-05 
-0.00267070476624165,-93047.6131188415,2010-08-06 
0.00680197270245676,70084.6604001062,2010-08-09 
-0.0115795524719442,-298740.313611403,2010-08-10 
-0.0284717886597938,-1066008.2534831,2010-08-11 
-0.00303783601091241,-194269.993445156,2010-08-12 
-0.00420884960582171,34814.1766337165,2010-08-13 
0.00363016815769522,153020.309874198,2010-08-16 
0.0123319649734648,685143.573093047,2010-08-17 
0.00191428079490291,138386.761757337,2010-08-18 
-0.0165743251440703,249407.910552757,2010-08-19 
-0.00164201759175007,-29374.6731569141,2010-08-20 
-0.0087241886849689,-124983.922189018,2010-08-23 
-0.011864037919005,-511869.89009724,2010-08-24 
0.00569822894856623,160801.761269705,2010-08-25 
-0.00494899651039299,-195907.045368474,2010-08-26 
0.0185757872534142,611005.850054675,2010-08-27 
-0.0137716424233222,-323995.344034638,2010-08-30 
0.000360007742523152,-6156.29483571379,2010-08-31 
0.0248905526875189,1085439.65562051,2010-09-01 
0.00829865644451194,383852.475951625,2010-09-02 
0.0117351052232008,395837.918251591,2010-09-03 
-0.0124126901002125,-239578.947684035,2010-09-07 
0.00609640242976463,292399.333008845,2010-09-08 
0.00237311269744835,80504.4962274766,2010-09-09 
0.00408243721565059,89659.0468552718,2010-09-10 
0.0156814593773728,468523.15363366,2010-09-13 
-0.000764857251328779,66254.7989040262,2010-09-14 
0.00140554334294823,125112.311432116,2010-09-15 
-0.00268551176917236,60570.4291262205,2010-09-16 
0.00307371762562623,67727.0861762903,2010-09-17 
0.0172013666464155,578494.056885516,2010-09-20 
-0.00299742757364107,-79085.7037592201,2010-09-21 
-0.005267403612629,-199640.595388382,2010-09-22 
-0.00613420279083876,-156878.767038886,2010-09-23 
0.0200864121929027,711888.014221125,2010-09-24 
-0.0014786593840085,77888.0979329411,2010-09-27 
0.00740526502732239,163829.448046045,2010-09-28 
0.00201454156553398,36987.8683487966,2010-09-29 
0.0011875053828658,-91072.4770330239,2010-09-30 
0.00450176907904718,162924.170007681,2010-10-01 
-0.00903580794902916,-228049.267006894,2010-10-04 
0.0185483627674101,794219.648273802,2010-10-05 
-0.000477138496583143,-267467.816096152,2010-10-06 
-0.00164753705953827,-28124.4020739013,2010-10-07 
0.00993947318851587,374295.723789488,2010-10-08 
0.0018617893697798,102808.381578368,2010-10-11 
0.00378038754745634,386512.074427546,2010-10-12 
0.011164290400972,319783.429734483,2010-10-13 
-0.00172293937091628,-236793.890681463,2010-10-14 
-0.000573551556567957,172304.247294166,2010-10-15 
0.00574373504403279,307786.39968536,2010-10-18 
-0.0167388123291831,-841493.972376788,2010-10-19 
0.0102300106286061,350678.778763782,2010-10-20 
-0.00300249901290811,13905.6978430799,2010-10-21 
0.00505514034021871,193136.191483699,2010-10-22 
0.00516745321992707,193235.950221378,2010-10-25 
0.000521232194381169,97022.8072749437,2010-10-26 
-0.00415571383027175,58696.9178598595,2010-10-27 
-0.000823544240400663,-17190.2814583242,2010-10-28 
0.00355577037486719,99866.3664836172,2010-10-29 
-0.00347534713375796,79284.0544834019,2010-11-01 
0.0116843508638982,323284.180991414,2010-11-02 
0.00230495194785508,166733.129717108,2010-11-03 
0.0172677708396484,995169.116575686,2010-11-04 
0.00451728084267961,276078.498818367,2010-11-05 
0.00216991517721903,93395.3147493884,2010-11-08 
-0.00923211634600815,-363860.460817742,2010-11-09 
0.00592539575757573,278642.471603168,2010-11-10 
-0.00441005012872938,-320038.493771866,2010-11-11 
-0.0125313876191918,-592503.914515238,2010-11-12 
-0.00130962613567534,110262.232724199,2010-11-15 
-0.0167098327526133,-819159.608060069,2010-11-16 
0.00285957199151257,78875.0757063758,2010-11-17 
0.0125432130625852,556378.764791523,2010-11-18 
0.00386138833333334,253061.563963546,2010-11-19 
0.00101106861557104,133612.968995208,2010-11-22 
-0.0102206464080025,-468207.488939669,2010-11-23 
0.0143100415340307,499344.856834833,2010-11-24 
-0.00255449318181818,-87203.981219101,2010-11-26 
-0.000625653892759769,51125.4795265086,2010-11-29 
-0.00534441387668537,-87335.0582550902,2010-11-30 
0.0132336773851054,809908.964031763,2010-12-01 
0.00893513607402913,500122.897046624,2010-12-02 
0.005105166767738,189229.423474873,2010-12-03 
0.00299044929513414,109693.652569677,2010-12-06 
0.000214734384475439,-75314.436519501,2010-12-07 
-0.00100645906610066,62374.8656385751,2010-12-08 
0.00348991415594248,244520.236033622,2010-12-09 
0.00681438156500682,397917.316347598,2010-12-10 
-0.00150134100196761,-588.66067223279,2010-12-13 
-0.0014528276070834,-107992.392753389,2010-12-14 
-0.0041343539487646,-193619.209182737,2010-12-15 
0.00788161554781026,124736.612410614,2010-12-16 
0.00367113058627484,446966.560164994,2010-12-17 
0.000710111767378465,118721.202644362,2010-12-20 
0.00865251325155233,311767.900300978,2010-12-21 
0.00330111769160861,98494.9143380482,2010-12-22 
0.000388593271707836,37309.7086243617,2010-12-23 
0.00347927026208152,40489.5072353069,2010-12-27 
-0.000227451666666668,20522.3155917668,2010-12-28 
0.004137277769359,138639.154789646,2010-12-29 
0.00130798393452561,45629.28961095,2010-12-30 
0.000870804911323329,14532.8061175769,2010-12-31 


